NCT ID,Asset,Title,Lead Sponsor,Acronym,Overall Status,Enrollment,Start Date,Conditions,Interventions,Primary Outcome(s),Secondary Outcome(s),Locations,Primary Completion Date,Study First Post Date,Last Update Post Date,Study Type,Phases
NCT04006457,Ritlecitinib,"A PHASE 3 OPEN-LABEL, MULTI-CENTER, LONG-TERM STUDY INVESTIGATING THE SAFETY AND EFFICACY OF PF-06651600 IN ADULT AND ADOLESCENT PARTICIPANTS WITH ALOPECIA AREATA",Pfizer,ALLEGRO-LT,ACTIVE_NOT_RECRUITING,1051,2019-07-18,Alopecia Areata,"PF-06651600, Tetanus and diphtheria toxoids and acellular pertussis (Tdap) vaccine, Meningococcal (groups A, C, W-135 and Y [ACWY]) oligosaccharide diphtheria CRM197 conjugate vaccine","Number of subjects reporting treatment-emergent adverse events, Number of subjects reporting serious adverse events, Number of subjects reporting adverse events leading to discontinuation, Number of subjects with clinically significant abnormalities in vital signs, Number of subjects with clinically significant abnormalities in clinical laboratory values, Vaccine sub-study: Percentage of subjects with a tetanus booster response","Percentage of subjects with an absolute Severity of Alopecia Tool (SALT) Score <=10, Percentage of subjects with an absolute Severity of Alopecia Tool (SALT) Score <=20, Change from baseline in SALT score, Percentage of subjects with a 75% improvement in SALT score from baseline, Percentage of subjects with at least a 2 grade improvement or a score of 3 in Eyebrow Assessment (EBA) score, Percentage of subjects with at least a 2 grade improvement or a score of 3 in Eyelash Assessment (ELA) score, Patient's Global Impression of Change (PGI-C) response, defined as PGI-C score of ""moderately improved"" or ""greatly improved"", Change from baseline in Alopecia Areata Patient Priority Outcomes (AAPPO) domains, Change from baseline in the depression subscale score of the Hospital Anxiety and Depression Scale (HADS), Change from baseline in the anxiety subscale score of the Hospital Anxiety and Depression Scale (HADS), Improvement on the Hospital Anxiety and Depression Scale (HADS) among participants with a baseline subscale score indicative of depression who achieved a ""normal"" subscale score indicative of an absence of depression, Improvement on the Hospital Anxiety and Depression Scale (HADS) among participants with a baseline subscale score indicative of anxiety who achieved a ""normal"" subscale score indicative of an absence of anxiety, Vaccine sub-study: Percentage of subjects with a meningococcal serogroup C response, Vaccine sub-study: Percentage of subjects with anti-tetanus antibody level ≥1.0 IU/mL, Vaccine sub-study: Percentage of subjects with anti-tetanus antibody level ≥0.1 IU/mL, Vaccine sub-study: Percentage of subjects with ≥4x increase in anti-tetanus antibody level from baseline, Vaccine sub-study: Fold increase in anti-tetanus levels above baseline values, Vaccine sub-study: Geometric mean concentrations (GMCs) of anti-tetanus antibody levels, Vaccine sub-study: Percentage of subjects with ≥1:4 hSBA (in subjects with undetectable pre-vaccination assay titers) for meningococcal serogroup C, Vaccine sub-study: Geometric mean titers (GMTs) of antibodies for meningococcal serogroup C, Number of subjects reporting treatment-emergent adverse events, Number of subjects reporting serious adverse events, Number of subjects reporting adverse events leading to discontinuation, Number of subjects with clinically significant abnormalities in vital signs, Number of subjects with clinically significant abnormalities in clinical laboratory values, Vaccine sub-study: Number of subjects reporting serious adverse events, Vaccine sub-study: Number of subjects reporting adverse events, Vaccine sub-study: Number of subjects reporting adverse events leading to discontinuation","Birmingham - United States, Birmingham - United States, Birmingham - United States, Beverly Hills - United States, Irvine - United States, Murrieta - United States, San Francisco - United States, San Francisco - United States, Santa Ana - United States, Aurora - United States, Aurora - United States, Aurora - United States, New Haven - United States, New Haven - United States, New Haven - United States, New Haven - United States, Washington - United States, Washington - United States, Washington - United States, Washington - United States, Washington - United States, Boynton Beach - United States, Orange Park - United States, Tampa - United States, Meridian - United States, Chicago - United States, Chicago - United States, Chicago - United States, Chicago - United States, Chicago - United States, Oakbrook Terrace - United States, Skokie - United States, Skokie - United States, Springfield - United States, Indianapolis - United States, Iowa City - United States, Chevy Chase - United States, Boston - United States, Minneapolis - United States, Minneapolis - United States, Minneapolis - United States, Omaha - United States, Verona - United States, New York - United States, New York - United States, New York - United States, Chapel Hill - United States, Chapel Hill - United States, Chapel Hill - United States, Chapel Hill - United States, Cleveland - United States, Tulsa - United States, Portland - United States, Portland - United States, Bellaire - United States, Vienna - United States, Caba - Argentina, Caba - Argentina, Kogarah - Australia, Kogarah - Australia, Benowa - Australia, Woolloongabba - Australia, Carlton - Australia, East Melbourne - Australia, Parkville - Australia, Parkville - Australia, Parkville - Australia, Winnipeg - Canada, Halifax - Canada, London - Canada, Markham - Canada, Markham - Canada, Oakville - Canada, Peterborough - Canada, Richmond Hill - Canada, Sudbury - Canada, Sudbury - Canada, Sudbury - Canada, Toronto - Canada, Toronto - Canada, Montreal - Canada, Quebec - Canada, Santiago - Chile, Santiago - Chile, Vina del Mar - Chile, Santiago - Chile, Beijing - China, Beijing - China, Guangzhou - China, Shenzhen - China, Wuhan - China, Nanjing - China, Shanghai - China, Hangzhou - China, Medellin - Colombia, Medellin - Colombia, Bogota D.C. - Colombia, Nachod - Czechia, Olomouc - Czechia, Praha 10 - Czechia, Praha 1 - Czechia, Bad Bentheim - Germany, Bad Bentheim - Germany, Berlin - Germany, Erlangen - Germany, Frankfurt am Main - Germany, Luebeck - Germany, Muenster - Germany, Nagoya - Japan, Sendai - Japan, Hamamatsu - Japan, Koto-ku - Japan, Mitaka-shi - Japan, Osaka - Japan, Tokyo - Japan, Busan - Korea, Republic of, Seoul - Korea, Republic of, Veracruz - Mexico, Veracruz - Mexico, Szczecin - Poland, Grodzisk Mazowiecki - Poland, Krakow - Poland, Lodz - Poland, Ostrowiec Swietokrzyski - Poland, Szczecin - Poland, Warszawa - Poland, Warszawa - Poland, Warszawa - Poland, Warszawa - Poland, Wroclaw - Poland, Wroclaw - Poland, Wroclaw - Poland, Chelyabinsk - Russian Federation, Kirov - Russian Federation, Moscow - Russian Federation, Moscow - Russian Federation, Rostov-on-Don - Russian Federation, Saint Petersburg, - Russian Federation, Saint Petersburg - Russian Federation, Saint Petersburg - Russian Federation, Yaroslavl - Russian Federation, Badalona - Spain, Barcelona - Spain, Cordoba - Spain, Madrid - Spain, Madrid - Spain, Madrid - Spain, Valencia - Spain, Taichung - Taiwan, Kaohsiung City - Taiwan, Kaohsiung - Taiwan, New Taipei City - Taiwan, Taipei - Taiwan, Taoyuan City - Taiwan, Southampton - United Kingdom, Southampton - United Kingdom, Brighton - United Kingdom, Glasgow - United Kingdom, London - United Kingdom, London - United Kingdom, London - United Kingdom",2024-07-08,2019-07-05,2023-12-22,INTERVENTIONAL,PHASE3
NCT06163326,Ritlecitinib,"A PHASE 3 RANDOMIZED WITHDRAWAL AND DOSE-UP TITRATION, MULTICENTER EXTENSION STUDY INVESTIGATING THE SAFETY, EFFICACY, AND TOLERABILITY OF RITLECITINIB IN ADULT AND ADOLESCENT PARTICIPANTS WITH NONSEGMENTAL VITILIGO",Pfizer,Tranquillo LTE,RECRUITING,400,2024-01-19,Vitiligo,"Ritlecitinib, Ritlecitinib 100 mg, Placebo","Incidence of treatment-emergent adverse events (TEAEs), serious adverse events (SAEs), and adverse events (AEs) leading to discontinuation, Incidence of clinically significant laboratory abnormalities","Response based on T-VASI75 at weeks 4, 8, 12, 24, 36 and 52, Response based on F-VASI75 at weeks 4, 8, 12, 24, 36 and 52, Response based on T-VASI50 at weeks 4, 8, 12, 24, 36 and 52, Response based on F-VASI50 at weeks 4, 8, 12, 24, 36 and 52, Response based on T-VASI90 at weeks 4, 8, 12, 24, 36 and 52, Response based on F-VASI90 at weeks 4, 8, 12, 24, 36 and 52, Response based on T-VASI100 at weeks 4, 8, 12, 24, 36 and 52, Response based on F-VASI100 at weeks 4, 8, 12, 24, 36 and 52, Patient Global Impression of Severity-Face (PGIS-F) at weeks 24, 36, and 52, Patient Global Impression of Severity-Overall Vitiligo (PGIS-V) at weeks 24, 36, and 52, Patient Global Impression of Change-Face (PGIC-F) at week 24, 36, and 52, Patient Global Impression of Change- Overall vitiligo (PGIC-V) at weeks 24, 36, and 52, Proportion of participants achieving disease stabilization, Percentage change from baseline (%CFB) in F-VASI at weeks 4, 8, 12, 24, 36, and 52, Percentage change from baseline (%CFB) in T-VASI at weeks 4, 8, 12, 24, 36, and 52","Encinitas - United States, Huntington Beach - United States, Los Angeles - United States, Boynton Beach - United States, Hollywood - United States, Tampa - United States, Indianapolis - United States, Baton Rouge - United States, Largo - United States, Wilmington - United States, Wilmington - United States, Columbus - United States, Columbus - United States, Houston - United States, Red Deer - Canada, Markham - Canada, Mississauga - Canada, Toronto - Canada, Quebec - Canada, Quebec - Canada, Shanghai - China, Sendai-shi - Japan, Sakai City - Japan, Bunkyo-ku - Japan, Shinjuku-ku - Japan, Kofu - Japan, Tokyo - Japan, Suwon - Korea, Republic of, Seoul - Korea, Republic of, Osielsko - Poland, Warszawa - Poland, Szczecin - Poland",2027-01-30,2023-12-08,2024-06-26,INTERVENTIONAL,PHASE3
NCT05879458,Ritlecitinib,"A Single-center, Single-arm, Open-label Phase IIA Clinical Trial to Investigate Efficacy and Safety of Ritlecitinib (PF-06651600) in Patients With Cutaneous T Cell Lymphomas",Icahn School of Medicine at Mount Sinai,Unknown,RECRUITING,20,2023-05-17,"CTCL, Mycosis Fungoides, Sezary Syndrome",Ritlecitinib,Change in Modified Severity Weighted Assessment Tool (mSWAT),"Change in Modified Severity Weighted Assessment Tool (mSWAT), Treatment Emergent Adverse Events, Number of Serious Adverse Events, Number of Adverse Events, Number of clinically significant abnormalities in vital signs, Number of clinically significant abnormalities in clinical laboratory values, Change in Percentage of patients achieving 50% or greater improvement in mSWAT score, Change in Global Response Score, Absolute change of health-related quality of life (Skindex-29), Absolute change of health-related quality of life (FACT-G), Absolute change of IPQ-R (Illness perception questionnaire), Percentage change of pruritus according to visual analogue scale (VAS)",New York - United States,2026-04,2023-05-30,2024-05-07,INTERVENTIONAL,PHASE2
NCT05128058,Ritlecitinib,"AN OPEN LABEL, PHASE 1, TWO-ARM STUDY TO ASSESS TARGET OCCUPANCY AND FUNCTIONAL INHIBITION OF JAK3 AND TEC KINASES BY SINGLE DOSES OF RITLECITINIB IN HEALTHY ADULT PARTICIPANTS",Pfizer,Unknown,COMPLETED,16,2021-10-22,Healthy,"Ritlecitinib 50 mg, Ritlecitinib 200 mg","Percent Target Occupancy for JAK3, Percent Target Occupancy for BTK, Percent Target Occupancy for ITK, Percent Target Occupancy for TXK, Percent Target Occupancy for TEC, Percent Target Occupancy for BMX","Maximum Observed Plasma Concentration (Cmax) of Ritlecitinib, Time to Reach Maximum Observed Plasma Concentration (Tmax) of Ritlecitinib, Last Quantifiable Plasma Concentration (Clast) of Ritlecitinib, Average Plasma Concentration From Time 0 to 24 Hours (Cav) of Ritlecitinib, Area Under the Curve From Time Zero to Last Quantifiable Concentration (AUClast) of Ritlecitinib, Area Under the Curve From Time 0 to 24 Hours (AUC24) of Ritlecitinib, Number of Participants With All-Causality and Treatment-Related Treatment-Emergent Adverse Events (TEAEs), Number of Participants With Treatment-Emergent Adverse Events by Severity, Number of Participants With Laboratory Abnormalities Without Regard to Baseline Abnormality, Number of Participants With Pre-defined Criteria for Vital Signs",New Haven - United States,2022-01-14,2021-11-19,2023-11-13,INTERVENTIONAL,PHASE1
NCT05743244,Ritlecitinib,"A Phase 2 Multi-Center, Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Safety and Efficacy of Subtype-Selective JAK Inhibitors for Preservation of Pancreatic β Cell Function in Newly Diagnosed Type 1 Diabetes Mellitus",National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),Unknown,RECRUITING,78,2023-10-19,"Diabetes Mellitus, Type 1","Abrocitinib 200 MG Oral Tablet, Ritlecitinib, Placebo",The area under the stimulated C-peptide curve (Y_AUC),No secondary outcomes listed,"Orange - United States, Palo Alto - United States, San Francisco - United States, Aurora - United States, New Haven - United States, Gainesville - United States, Tampa - United States, Atlanta - United States, Indianapolis - United States, Minneapolis - United States, Kansas City - United States, New York - United States, Pittsburgh - United States, Nashville - United States, Dallas - United States, Seattle - United States",2026-06-30,2023-02-24,2024-05-24,INTERVENTIONAL,PHASE2
NCT05852340,Ritlecitinib,"A PHASE 1, RANDOMIZED, OPEN-LABEL, CROSSOVER STUDY TO ESTIMATE THE RELATIVE BIOAVAILABILITY OF PEDIATRIC RITLECITINIB (PF-06651600) SPRINKLED IN APPLESAUCE, YOGHURT AND STRAWBERRY JAM RELATIVE TO INTACT BLEND-IN CAPSULE OF RITLECITINIB AND THE EFFECT OF FOOD ON THE BIOAVAILABILITY OF THE INTACT BLEND-IN CAPSULE DOSAGE FORMULATION OF RITLECITINIB IN HEALTHY ADULT PARTICIPANTS",Pfizer,Unknown,COMPLETED,12,2023-05-09,"Healthy Volunteers, Adult, Pharmacokinetics",Ritlecitinib,"Maximum plasma concentration (Cmax), Area under the plasma concentration-time profile from time zero extrapolated to infinite time (AUCinf)",Number of participants reporting adverse events,Brussels - Belgium,2023-07-12,2023-05-10,2023-08-02,INTERVENTIONAL,PHASE1
NCT04655040,Ritlecitinib,"A PHASE 1, 2-PERIOD, FIXED-SEQUENCE, MULTIPLE-DOSE, OPEN-LABEL STUDY TO ESTIMATE THE EFFECTS OF RITLECITINIB (PF-06651600) ON THE PHARMACOKINETICS OF A SINGLE DOSE OF CAFFEINE IN HEALTHY PARTICIPANTS",Pfizer,Unknown,COMPLETED,12,2020-12-18,Healthy Participants,"Caffeine, Ritlecitinib",Area under the plasma concentration-time profile from time 0 extrapolated to infinity (AUCinf) of caffeine,"Incidence of treatment-emergent adverse events, Incidence of clinically significant abnormalities in vital signs, Incidence of clinically significant abnormalities in clinical laboratory values",New Haven - United States,2021-03-05,2020-12-04,2021-03-18,INTERVENTIONAL,PHASE1
NCT06172348,Ritlecitinib,"A PHASE 1, OPEN-LABEL STUDY IN HEALTHY PARTICIPANTS TO INVESTIGATE THE PHARMACOKINETICS OF RITLECITINIB FOLLOWING SINGLE ORAL ADMINISTRATION OF MODIFIED RELEASE FORMULATIONS UNDER FED AND FASTED CONDITIONS",Pfizer,Unknown,COMPLETED,12,2024-02-01,Healthy Volunteers,Ritlecitinib,"Maximum plasma concentration (Cmax), Area under the plasma concentration-time profile from time zero extrapolated to infinite time (AUCinf) if data permit, otherwise area under the plasma concentration-time profile from time 0 to the time of the last quantifiable concentration (AUClast)","Frequency of adverse events, Frequency of abnormal clinical laboratory tests, Frequency of abnormal vital signs, Frequency of abnormal 12-lead ECG",Brussels - Belgium,2024-03-28,2023-12-15,2024-04-04,INTERVENTIONAL,PHASE1
NCT05583526,Ritlecitinib,"A PHASE 3 RANDOMIZED, DOUBLE-BLIND, 52-WEEK PLACEBO-CONTROLLED, MULTI-CENTER STUDY INVESTIGATING THE EFFICACY, SAFETY, AND TOLERABILITY OF RITLECITINIB IN ADULT AND ADOLESCENT PARTICIPANTS WITH NON SEGMENTAL VITILIGO",Pfizer,Tranquillo,RECRUITING,600,2022-12-01,"Stable Nonsegmental Vitiligo, Active Nonsegmental Vitiligo","Ritlecitinib, Placebo","US only Co-Primary Endpoints: Response based on Total body Vitiligo Area Scoring Index 75 (T-VASI75) at Week 52 and T-VASI50 at Week 52, Global (Other than US): Response based on Facial Vitiligo Area Scoring Index 75 (F-VASI75) at Week 52, Incidence of Treatment Emergent Adverse Events (TEAEs), Serious Adverse Events (SAEs), Adverse Events (AEs), leading to discontinuation, and clinically significant laboratory abnormalities","US-Only: Response based on F-VASI75 at 24, 26 and 52 weeks, US-Only: Response based on T-VASI50 at 24 and 36 weeks, Global (Other than US):Patient Global Impression of Severity-Face (PGIS-F), Global (Other than US): Patient Global Impression of Severity-Overall Vitiligo (PGIS-V), Global (Other Than US): Response based on T-VASI50 at Week 52, Patient Global Impression of Change-Face (PGIC-F), Patient Global Impression of Change- Overall vitiligo(PGIC-V), Global (Other than US): Response based on F-VASI75 at 24 and 36 weeks, Global (Other than US): Response based on PGIS-V, Global (Other than US): Response based on F-VASI75, Change from baseline in Dermatology Life Quality Index (DLQI) or Children Dermatology Life Quality Index (CDLQI), Proportion of participants achieving disease stabilization, Response based on T-VASI50, Response based on F-VASI75, US only: Response based on T-VASI75, Global (Other than US): Response based on T-VASI75, All Countries: Time to rescue medication, Percentage change from baseline in F-VASI, Percentage change from baseline in T-VASI, Response based on T-VASI90, Response based on T-VASI100, Response based on F-VASI50, Response based on F-VASI90, Response based on F-VASI100, Change from baseline in the Hospital Anxiety and Depression Scale (HADS), The proportion of patients achieving absence of depression on HADS depression subscale, The proportion of patients achieving absence of anxiety on HADS anxiety subscale, US-Only: Patient Global Impression of Severity-Face (PGIS-F), US-Only: Patient Global Impression of Severity-Overall Vitiligo (PGIS-V)","Birmingham - United States, Birmingham - United States, Encinitas - United States, Fremont - United States, Huntington Beach - United States, Los Angeles - United States, Washington - United States, Washington - United States, Washington - United States, Boynton Beach - United States, Hollywood - United States, Lutz - United States, Miami - United States, Miami - United States, North Miami Beach - United States, North Miami Beach - United States, North Miami Beach - United States, Saint Petersburg - United States, Tampa - United States, Tampa - United States, Marietta - United States, Sandy Springs - United States, Indianapolis - United States, Baton Rouge - United States, Baton Rouge - United States, Baton Rouge - United States, New Orleans - United States, Prairieville - United States, Glenn Dale - United States, Largo - United States, Rockville - United States, Boston - United States, Brighton - United States, Worcester - United States, Ann Arbor - United States, Canton - United States, Omaha - United States, Albuquerque - United States, Brooklyn - United States, New York - United States, Chapel Hill - United States, Chapel Hill - United States, Wilmington - United States, Wilmington - United States, Wilmington - United States, Cleveland - United States, Columbus - United States, Columbus - United States, Charleston - United States, Bellaire - United States, Dallas - United States, Houston - United States, Houston - United States, Houston - United States, San Antonio - United States, San Antonio - United States, San Antonio - United States, Darlinghurst - Australia, Campbelltown - Australia, Carlton - Australia, East Melbourne - Australia, East Melbourne - Australia, Melbourne - Australia, Dupnitsa - Bulgaria, Sofia - Bulgaria, Stara Zagora - Bulgaria, Calgary - Canada, Red Deer - Canada, Cobourg - Canada, Markham - Canada, Mississauga - Canada, Oshawa - Canada, Toronto - Canada, Quebec - Canada, Quebec - Canada, Fuzhou - China, Guangzhou - China, Guangzhou - China, Wuhan - China, Shenyang - China, Shanghai - China, Tianjin - China, Kunming - China, Hangzhou - China, Hangzhou - China, Wenzhou - China, Wenzhou - China, Stuttgart - Germany, Erlangen - Germany, Bad Bentheim - Germany, Münster - Germany, Roma - Italy, Brescia - Italy, Rozzano - Italy, Rozzano - Italy, Rozzano - Italy, Roma - Italy, Roma - Italy, Bologna - Italy, Brescia - Italy, Nagoya - Japan, Sendai-shi - Japan, Sakai City - Japan, Shinjuku-ku - Japan, Toshima-Ku - Japan, Kofu - Japan, Tokyo - Japan, Tokyo - Japan, Goyang-si - Korea, Republic of, Suwon-si - Korea, Republic of, Suwon - Korea, Republic of, Seoul - Korea, Republic of, Mexico City - Mexico, Monterrey - Mexico, Veracruz - Mexico, Veracruz - Mexico, Veracruz - Mexico, Osielsko - Poland, Warszawa - Poland, Szczecin - Poland, Szczecin - Poland, Lodz - Poland, Ostrowiec Witokrzyski - Poland, Mthatha - South Africa, Port Elizabeth - South Africa, Kempton Park - South Africa, Pretoria - South Africa, Cape Town - South Africa, Cordoba - Spain, Las Palmas de Gran Canaria - Spain, Barcelona - Spain, Córdoba - Spain, Madrid - Spain, Madrid - Spain, Istanbul - Turkey, Istanbul - Turkey, Kayseri - Turkey, Manisa - Turkey, London - United Kingdom",2025-07-28,2022-10-17,2024-06-03,INTERVENTIONAL,PHASE3
NCT06373458,Ritlecitinib,"A Single-Center, Two-Arm, Open-Label Phase IIA Clinical Trial to Investigate Efficacy and Safety of Ritlecitinib in Patients With Keloid",Icahn School of Medicine at Mount Sinai,Unknown,RECRUITING,30,2024-06-30,Keloid,Ritlecitinib,"Recurrence Rate, Change in Detroid Keloid Scale Score","Change in Peak keloid tension, Change in Detroid Keloid Scale Score (DKS), Change in Pain Numerical Rating Scale (Pain-NRS), Change in Itch-NRS, Change in PGIC (Patient Global Impression of Change), Change in DLQI (Dermatology Life Quality Index)",New York - United States,2026-03,2024-04-18,2024-06-04,INTERVENTIONAL,PHASE2
NCT05549934,Ritlecitinib,A Pilot Study to Assess Safety and Biomarker Responses of Ritlecitinib (JAK3/TEC Inhibitor) in Cicatricial Alopecia,Emma Guttman,Unknown,RECRUITING,50,2022-12-15,Cicatricial Alopecia,PF-06651600,"Number of Treatment-Emergent Adverse Events, Severity of Treatment-Emergent Adverse Events, Change in Ct values of mRNA levels of CCL5 gene, Change in Ct values of mRNA levels of CCL5 gene","Change in Ct values of mRNA levels of CXCR3, Ct value of mRNA levels of CXCR3, The Frontal Fibrosis Alopecia Severity Index (FFASI), The Frontal Fibrosis Alopecia Severity Index (FFASI), The Frontal Fibrosis Alopecia Severity Index (FFASI), The Lichen Planopilaris Activity Index (LPPAI), The Lichen Planopilaris Activity Index (LPPAI)",New York - United States,2024-12,2022-09-22,2023-08-14,INTERVENTIONAL,PHASE2
NCT05097716,Ritlecitinib,"PHASE 1, OPEN-LABEL, FIXED-SEQUENCE, 2-PERIOD STUDY TO ESTIMATE THE EFFECT OF MULTIPLE-DOSE RITLECITINIB (PF-06651600) ON THE PHARMACOKINETICS OF SINGLE-DOSE TOLBUTAMIDE IN HEALTHY PARTICIPANTS",Pfizer,Unknown,COMPLETED,12,2021-11-02,Healthy Volunteers,"Ritlecitinib, Tolbutamide","Maximum Plasma Concentration (Cmax) of Tolbutamide Administered With and Without Ritlecitinib, Area Under the Plasma Concentration Time Profile From Time Zero Extrapolated to Infinite Time (AUCinf) of Tolbutamide Administered With and Without Ritlecitinib",Number of Participants With Treatment-Emergent Adverse Events (TEAEs) - All Causalities and Treatment Related,New Haven - United States,2022-01-10,2021-10-28,2023-10-06,INTERVENTIONAL,PHASE1
NCT05040295,Ritlecitinib,"A PHASE 1, RANDOMIZED, OPEN-LABEL, CROSS-OVER, SINGLE DOSE STUDY TO ESTIMATE THE RELATIVE BIOAVAILABILITY OF PEDIATRIC RITLECITINIB (PF-06651600) CAPSULES AND SPRAY CONGEALED BEADS RELATIVE TO ADULT CAPSULES IN HEALTHY ADULT PARTICIPANTS",Pfizer,Unknown,COMPLETED,12,2021-09-10,Healthy Participants,"ritlecitinib, ritlecitinib, ritlecitinib","Area Under the Plasma Concentration-Time Profile From Time 0 Extrapolated to Infinite Time (AUCinf) for Ritlecitinib, Maximum Plasma Concentration (Cmax) for Ritlecitinib","Number of Participants With Treatment-Emergent Adverse Events (All Causalities and Treatment-Related), Number of Participants With Laboratory Abnormalities Without Regard to Baseline Abnormality",New Haven - United States,2021-11-19,2021-09-10,2023-08-21,INTERVENTIONAL,PHASE1
NCT04413617,Ritlecitinib,"A 24-WEEK RANDOMIZED, DOUBLE-BLIND, PARALLEL GROUP, ACTIVE COMPARATOR, MULTICENTER STUDY TO ASSESS THE EFFICACY AND SAFETY OF PF-06650833, PF-06651600 (RITLECITINIB) AND TOFACITINIB ALONE AND IN COMBINATION IN PARTICIPANTS WITH MODERATELY-SEVERELY ACTIVE RHEUMATOID ARTHRITIS WITH AN INADEQUATE RESPONSE TO METHOTREXATE",Pfizer,Unknown,COMPLETED,460,2020-07-29,Rheumatoid Arthritis,"PF-06650833, PF-06651600, Tofacitinib",Change From Baseline (BL) in Disease Activity Score (DAS)28-C Reactive Protein (CRP) at Week 12,"DAS28-CRP Remission (<2.6) Rates at Week 24, Number of Participants With Treatment Emergent Adverse Events (TEAEs) and Treatment Emergent Serious Adverse Events (TESAEs), and Withdrawals Due to TEAEs, Number of Participants With Clinical Laboratory Abnormalities (Hematology and Chemistry, Without Regard to Baseline Abnormality), Number of Participants With Change From Baseline in Vital Signs Data Meeting the Pre-defined Categorical Summarization Criteria, Number of Participants With Adverse Events of Special Interest, Change From Baseline in DAS28-CRP at Week 24, American College of Rheumatology (ACR)20, ACR 50, ACR 70, and ACR 90 Responder Rates at Week 12 and Week 24, Change From Baseline in the Tender/Painful and Swollen Joint Count at Week 12 and Week 24, Change From Baseline in the Physician's Global Assessment (PhGA) of Arthritis at Week 12 and Week 24","Pleven - Bulgaria, Plovdiv - Bulgaria, Plovdiv - Bulgaria, Plovdiv - Bulgaria, Plovdiv - Bulgaria, Ruse - Bulgaria, Ruse - Bulgaria, Sofia - Bulgaria, Sofia - Bulgaria, Sofia - Bulgaria, Sofia - Bulgaria, Sofia - Bulgaria, Winnipeg - Canada, Rimouski - Canada, Santiago - Chile, Santiago - Chile, Santiago - Chile, Santiago - Chile, Santiago - Chile, Santiago - Chile, Pardubice - Czechia, Brno - Czechia, Brno - Czechia, Brno - Czechia, Havirov - Czechia, Ostrava - Kuncice - Czechia, Ostrava - Czechia, Ostrava - Czechia, Ostrava - Czechia, Pardubice - Czechia, Pardubice - Czechia, Praha 2 - Czechia, Praha 4 - Czechia, Uherske Hradiste - Czechia, Uherske Hradiste - Czechia, Uherske Hradiste - Czechia, Tbilisi - Georgia, Tbilisi - Georgia, Tbilisi - Georgia, Tbilisi - Georgia, Tbilisi - Georgia, Bekescsaba - Hungary, Bekescsaba - Hungary, Budapest - Hungary, Budapest - Hungary, Budapest - Hungary, Budapest - Hungary, Budapest - Hungary, Budapest - Hungary, Budapest - Hungary, Budapest - Hungary, Budapest - Hungary, Budapest - Hungary, Budapest - Hungary, Debrecen - Hungary, Debrecen - Hungary, Gyula - Hungary, Kistarcsa - Hungary, Kistarcsa - Hungary, Miskolc - Hungary, Szeged - Hungary, Szeged - Hungary, Szeged - Hungary, Veszprem - Hungary, Veszprém - Hungary, Bialystok - Poland, Bialystok - Poland, Bialystok - Poland, Bialystok - Poland, Bialystok - Poland, Bialystok - Poland, Bydgoszcz - Poland, Bydgoszcz - Poland, Bydgoszcz - Poland, Gdynia - Poland, Gdynia - Poland, Gdynia - Poland, Grodzisk Mazowiecki - Poland, Grodzisk Mazowiecki - Poland, Krakow - Poland, Krakow - Poland, Krakow - Poland, Krakow - Poland, Krakow - Poland, Krakow - Poland, Krakow - Poland, Krakow - Poland, Nowa Sol - Poland, Nowa Sol - Poland, Nowy Tomysl - Poland, Poznan - Poland, Poznan - Poland, Poznan - Poland, Poznan - Poland, Poznan - Poland, Warszawa - Poland, Warszawa - Poland, Warszawa - Poland, Warszawa - Poland, Warszawa - Poland, Warszawa - Poland, Warszawa - Poland, Warszawa - Poland, Warszawa - Poland, Bratislava - Slovakia, Bratislava - Slovakia, Bratislava - Slovakia, Kosice - Slovakia, Kosice - Slovakia, Kosice - Slovakia, Kosice - Slovakia, Martin - Slovakia, Martin - Slovakia, Martin - Slovakia, Nitra - Slovakia, Partizanske - Slovakia, Partizanske - Slovakia, Partizanske - Slovakia, Piestany - Slovakia, Piestany - Slovakia, Piestany - Slovakia, Rimavska Sobota - Slovakia, Rimavska Sobota - Slovakia, Rimavska Sobota - Slovakia, Rimavska Sobota - Slovakia, Ruzomberok - Slovakia, Topolcany - Slovakia, Santiago de Compostela - Spain, Santiago de Compostela - Spain, Elche - Spain, Barcelona - Spain, Santiago de Compostela - Spain, Sevilla - Spain, Chernihiv - Ukraine, Kharkiv - Ukraine, Kyiv - Ukraine, Kyiv - Ukraine, Kyiv - Ukraine, Kyiv - Ukraine, Kyiv - Ukraine, Kyiv - Ukraine, Odesa - Ukraine, Poltava - Ukraine, Zaporizhzhya - Ukraine",2022-02-07,2020-06-04,2023-04-07,INTERVENTIONAL,PHASE2
